TweetText,LogReg,RandForest,KNN,TrueLabel
@DavidArchie good night david! the flight 2 the philippines is about 22 hours long so jst watch every movie and sleep in the plane haha,1,1,1,1
@DavidArchie good to know you got back safe  did you taste the balot?,1,1,1,1
@DavidArchie Haha I haven't heard you sing.  Aw! but anyway good night.,1,1,1,1
"\@DavidArchie haha Liberace suit""",1,1,1,1
@DavidArchie haha thats soo cutee  what age is she??,1,1,0,1
@DavidArchie haha! nothing really new about that..gas is constantly goin up,1,1,1,1
@DavidArchie Haha. I like windy days! Do you?,1,1,1,1
@DavidArchie Haha...!!! Yeah!  T- shirts r awesome!! &amp; it's SUMMER!  lol!,1,1,0,1
@DavidArchie hahaha oh my gosh you crack me up David!  my two cats fight sometimes. It's usualy the boy picking on the girl.,1,1,1,1
@DavidArchie have a safe trip david! we will miss you..,1,1,1,1
"\@DavidArchie have an AWESOME show tonight""",1,1,0,1
@DavidArchie Have fun with your family.,1,1,1,1
"\@DavidArchie Have fun""",1,1,1,1
@DavidArchie hell in the most beautiful way is falling in love-- yes or no? why? please reply!,1,1,1,1
@DavidArchie hey  you didnt notice me again huhuhu,1,1,0,1
@DavidArchie Hey David!  glad you've returned safely! I hope you'll come back in Manila... will you? Hehe...,1,1,1,1
@DavidArchie hey david! i hope you'll come back soon here in the Philippines and hopefully your concert will be in the araneta coliseum,1,1,1,1
@DavidArchie Hey David! I'm doing a school project on Honduras. What do you think is the coolest thing to do or see there? thanks,1,1,1,1
"\@DavidArchie hey DAViD! so""",1,1,0,1
"\@DavidArchie Hey David""",1,1,0,1
@DavidArchie hey do you have a girlfriend right now david?.. hehehe im just wanna know.. good evening!..,1,1,1,1
@DavidArchie Hey!Can you tell me how you style your hair?Like in your profile pic?I always try to get mine like that but I can't! random?,1,1,0,1
"\@DavidArchie heyy David  in Asia""",1,1,1,1
@DavidArchie hi david  how were the shows? so do you have any plans on going to davao sometime soon?,1,1,1,1
@davidcook1 hi DaviD! Good Luck on your concert on Saturday! I wish i could go.. But i can't ..  Concert tickets are very expensive.. Hehe,1,1,1,1
@DavidCousens I didn't get to go...had to work as they wouldn't give me the time off.  Apparently I didn't miss much though!,1,1,1,1
"\@davidcoxon @LeeHarries Thanks for the suggestions""",1,1,1,1
"\@davidcushman not yet""",1,1,1,1
@DavidDaybreak We're not allowed to touch it.,1,1,0,1
@Daviddentist francesca battistelli  i'm singing it tomorrow night at a coffee house and its like the story of my life lol,1,1,1,1
@DavidDevious I can't  I have to finish making cookies.  I'm sorry babe...and I was not ignoring you,1,1,1,0
@DavideAlbanese Eh forse perché sono americana...ma anche calabrese! Pleased to tweet ya,1,1,0,1
@DavidEBest @solipsistic crap thats bad news  well ive been thinking of canceling emusic and moving to amiee street anyway,1,1,0,0
@DavideDiCillo Wish I was there. Really.  Maybe next wkend,1,1,1,1
@davideggleton Would you be able to scan yours for me please? I cant read maxs picture copy at all,1,1,0,1
@DavidEllis Go get spannered on Huntington Beach   Spannered means wellied.  Or shit-faced drunk.,1,1,1,1
"\@DavidEllis Twitter""",1,1,1,1
@davidetter curses on you for turning me on to peggle! most mindless addiction since pong!,1,1,1,1
@davidfarrier was that chang I saw on min.3.42 ? looks like you'll blend in well David,1,1,1,1
@davidforbritney Aww I wanna watch For the Record  I'll probably watch Crossroads instead,1,1,1,1
@DavidGallaher - I generally block people who think they can follow thousands of people.,1,1,1,0
@DavidArchie Hi David! good to know your safe from the flight.  we'll miss you here in the Philippines.,1,1,1,1
@DavidArchie Hi David! Where are you?  You havent tweeted so long...,1,1,0,0
@DavidArchie hi david. I just read my friend's tweet about you. She really likes you.hihihi God bless!,1,1,0,1
@DavidArchie Hi! just wondering if you have any idea about the competition happening at tweeterwall?!,1,1,1,1
"\@DavidArchie hi""",1,1,0,1
@DavidArchie hi.i saw ur interview with eugene..its funny! she's the one who said that you're classmates from u.s elementary school.,1,1,0,1
@DavidArchie hope that you have an awesome concert here in the Philippines!,1,1,1,1
@DavidArchie hope you can still try to sleep..just try to count sheeps..lols..,1,1,1,1
@DavidArchie hope you'll go back in the philippines...,1,1,1,1
@DavidArchie how funny that you came on the radio just as your were finished with your haircut. You have the best hair btw,1,1,0,1
@davidarchie I bet it will look cute!,1,1,0,1
@DavidArchie I didn't know you played softball! What else can you play?,1,1,1,1
@DavidArchie I guess you're sleeping now..  So goodnight David! Get a good rest.,1,1,1,1
"\@davidarchie i have my biology exam tomorrow that im gunna fail""",1,1,1,0
@DavidArchie i hope you'll had ur concert again here in the philippine. i hope u had a great time staying here in the phil .,1,1,1,1
@DavidArchie I just read your blog. You have a new drummer? What happened to Eli?,1,1,1,1
@DavidArchie I just watched your Sis performance and I really love it.  you seem to be REALLY busy. Take good care of yourself. ;),1,1,1,1
@davidarchie I love reading your tweets and feeling like I really get to know you.  So fun to follow the idols on twitter.  I'm a fan!,1,1,0,1
@DavidArchie i LOVE your album  i listen to it constantly  my favourite album atm xxxx,1,1,1,1
@davidarchie I lovedd the shiny suit!,1,1,1,1
@DavidArchie I once fell off a tredmill and got hurt  they can be dangerous!,1,1,1,0
@DavidArchie i remember when REO came to trini for a concert i missed it,1,1,1,0
@DavidArchie I want a meet and greet with you..  You're greater than ever!! INDESCRIBABLE! AMAZING!  Hope to meet you.. ((,1,1,1,1
"\@DavidArchie I was well impressed with your set last night.    Good on ya mate""",1,1,1,1
@DavidArchie I watched it David and your performance in SIS and Eat Bulaga is really stunning!  Hugs and Kisse David! XD,1,1,1,1
@DavidArchie I wish I could come.,1,1,1,1
@DavidArchie I wish I had gone to your concert.  My friends said it was awesooome. :&gt;,1,1,1,1
@DavidArchie i WISH you were doing a Toronto show on tour,1,1,1,1
"\@DavidArchie If you haven't already tried slicing up Philippine Mangoes and mixing them into vanilla ice cream""",1,1,1,1
"\@DavidArchie I'm halfway through writing a song for you! It compliments Touch My Hand""",1,1,1,1
@DavidArchie I'm not in the area. Sooo I shouldn't come?,1,1,1,1
@DavidArchie I'm watching your videos right now on YouTube.  I really am a big fan of yours. lol  your videos are so cool. weeeh!,1,1,1,1
@brans30 haah &quot;these skinny jeans are really tight..&quot; yeahh they are skinny jeans,1,1,1,1
"\@Brantanamo heeeeeey""",1,1,0,1
@Brantanamo Heey Ant why didn't you come to Brazil with Danny?,1,1,1,1
@Brantanamo hi ant! you are the dannys friend? i always you in danny pictures! haha  how are you annnnnt?  xx,1,1,0,1
"\@Brantanamo i watched terminator too! I'm a huge fan of the films but""",1,1,1,1
@Brantanamo id like to be born again so that could do all the things i didnt do in my previous life  xxx,1,1,1,1
"\@Brantanamo Oh""",1,1,0,1
@Brantanamo You make me laugh haha. I would come back as a pigeon because then i can poop on whoever i like !,1,1,1,1
"\@brantc Yeah""",1,1,1,1
@BrantleyG Oh Dammit! Woulda loved that! Bummed I missed your call  R u still here?,1,1,1,1
@BrandyPenelope well how about u buy it for me,1,1,1,1
@brandyradey  I'm dealing with that urge now (to save the day). Hard to do when they won't let you on the call.,1,1,1,1
@brandyraquel05 but they're not real! The real ones are like a grand each  what i need to do is go to the philippines and shop there Haha,1,1,1,1
"\@BrandyShaloo already saw your pict""",1,1,1,1
@brandystrippers I'm still voting for both too. We're too far in to give up now!,1,1,1,1
@Brandystrippers we can always try! i want him to come to my birthday,1,1,1,1
@brandystrippers-did u get the website I sent??? It has awesome Russ pics there,1,1,0,1
"\@BrandyWandLover  London city road thu 13th and Fris 14th £32 and £49""",1,1,0,1
"\@brandywandlover Aw""",1,1,0,1
@BrandyWandLover glad to hear that..aaww he's workin really hard  we miss his tweets tho..xx,1,1,1,1
"\@BrandyWandLover Hehehe""",1,1,1,1
@BrandyWandLover So I had to unfollow and refollow ... happened w/some other ppl recently too!,1,1,1,1
@BrandyWandLover. Thanks.   That one was at Celeb BB in Jan 07.,1,1,1,1
@brandyway haha me and @Starfall_tears were freaking out. We were forced myspace IM instead.,1,1,1,1
@BrandzHD TAKIN A BREAK FROM THE CLUBS PLEASE DONT TELL ME WHERE U AT,1,1,1,1
@branhead4lyfe aww...  i be trying,1,1,0,1
@branli I've been in an out today. Had a long day at work,1,1,1,1
@davidarchie ei how r u? ur looking tired  ahaha gudluck to ur concert on saturday.,1,1,1,1
"\@DavidArchie even though it's delayed""",1,1,1,1
@DavidArchie Fly to FL...I wanna see &quot;UP&quot; and I need someone to go with,1,1,1,1
@DavidArchie glad to hear that u landed safely in US.,1,1,0,1
@DavidArchie Good evening/afternoon/morning wherever you may be right now,1,1,0,1
@DavidArchie Good luck David. Wish you all the best. I know you can do it.,1,1,1,1
"\@DavidArchie Good luck! If I remember right""",1,1,0,1
@davidarchie good morning!  you're probably awake. It's passed 2am here in Ohio and I need to go to bed. Haha. Have an awesome day!,1,1,1,1
"\@DavidArchie Good morning""",1,1,1,1
@DavidArchie Good to know ur safe.,1,1,0,1
@DavidArchie haha hotels always try to rip you off  i like the ones with free yogurttttt,1,1,1,1
"\@DavidArchie haha i noticed that""",1,1,1,1
@davidarchie haha oh no!  - yay i love her + you! Have fun guys!  loveeyouu! X,1,1,0,1
"\@DavidArchie Haha! I want to join the American Idol""",1,1,1,1
"\@DavidArchie haha""",1,1,0,1
@DavidArchie haha. omg i just listened to your cover of Sweet Caroline and it is AMAZING,1,1,1,1
@DavidArchie Hahaha David you're at exactly 333 updates.,1,1,0,1
@DavidArchie has landed safely in the US,1,1,1,1
"\@DavidArchie Have a super awesome day""",1,1,0,1
"\@DavidArchie have fun there! now i'm really hoping i was there""",1,1,1,1
"\@DavidArchie Have fun! You're going to be amazing""",1,1,1,1
@DavidArchie have you gotten to do any shopping over there? buy anything cool?,1,1,1,1
@DavidArchie help ive been banned from davidarchuleta.com and i dont know why. ive been banned for like three months,1,1,1,0
@DavidArchie hey can u help me..do you know the real account of KRIS ALLEN here on twitter?,1,1,0,1
@DavidArchie hey david! did you take piano lessons?? I think this is the 4th time I tweeted you cause you wouldn't reply to me,1,1,1,1
@DavidArchie HEY DAVID! I wanna give u this scrapbook when u r in NC- maybe I should get tickets to the @KeithUrban concert that weekend,1,1,1,1
@DavidArchie hey david! it was nice seeing you here in the Philippines.you're such an amazing person with an undisputed talent.- Margaret,1,1,0,1
@DavidArchie hey david! what are you up to today? i'm studying for finals.. and it's so nice out!,1,1,1,1
@DavidArchie Hey David. I really had fun watching your concert. Hope you'll come here again. &quot;SALAMAT PO&quot;,1,1,0,1
@DavidArchie Hey Love the episode but why only 5 mins  u were awesome loved ya!!!,1,1,1,1
"\@DavidArchie Hey""",1,1,0,1
@DavidArchie HI ! Welcome to the PHILIPPINES,1,1,1,1
@davidcoallier Looking forward to meeting you at #tek09,1,1,0,1
@DavidCook1 I wish I could afford one,1,0,1,0
"\@DavidCousens oooh 'ello""",1,1,0,1
"\@davidcrow @cspin and I suppose""",1,1,0,1
@DavidDaybreak I tweet more than you.,1,1,1,1
"\@DavidDeaton Aww""",1,1,1,1
@davidderaedt I'll kiss his ass for you,1,1,1,1
@davideaikin the man! No worries. I'd probably have done the same lol. My coffee with a friend cancelled on me yesterday  lol,1,1,1,1
@davidebbo why do you need secure passwords? what are you hiding?,1,1,1,1
@DavideDiCillo More like 10-12 for us,1,1,1,1
"\@DavideDiCillo: @gopalo @agustinap @jwhilie - not really""",1,1,1,1
@davideisert @lpt21 - never too sunny for lego! it's an all weather obsession,1,1,1,1
@DavidEllis thanks!  I can't believe there aren't any reviews up anywhere yet.. it's been 3 weeks..,1,1,1,0
@DavidEllis Way to namedrop Heavy Air on ListenUp without the chant,1,1,1,1
@davidfarrier she once tried to snatch my bag off me when i told her that i dont have cigarettes because I don't smoke.she got angry,1,1,1,1
"\@DavidFeng Mmm""",1,1,1,1
@DavidFrancis19 me to but im stuck at home and cant go out to get anything,1,1,1,0
"\@DavidArchie Hi David! Did you have a great time? I didn`t get to watch""",1,1,1,1
@DavidArchie Hi David! Have a good night,1,1,1,1
"\@DavidArchie Hi David""",1,1,1,1
@DavidArchie Hi! Good morning!  and hope u have a great day,1,1,0,1
"\@davidarchie hi! what is ur next project archie? ive seen you on screen such as hannah montana""",1,1,1,1
"\@DavidArchie hi""",1,1,0,1
@DavidArchie hii david..I'm ur big fan from Indonesia..hopefully u reply...thanks a lot..,1,1,0,1
@DavidArchie Hope you &quot;Come Back to Me&quot; soon.,1,1,1,1
@DavidArchie Hope you weren't too shocked by it all.,1,1,0,1
@DavidArchie hope you're having a great time in our country...,1,1,0,1
@DavidArchie How is life in the uk today david?,1,1,1,1
@davidarchie I couldnt come to see you in Southend on the 2nd as I couldnt get the tickets :[ Ill have to come see you when you solo tour,1,1,1,1
@DavidArchie i guess that was a little selfish for me to say.  i just wanted you to read this... somehow.,1,1,1,1
@DavidArchie i hate that too!  sorry david.,1,1,1,0
@DavidArchie I heard you and Brooke were sitting right behind Jason Mraz at the Idol's Finale. so how was it?,1,1,1,1
@DavidArchie i just flew this morning! but it wasnt long enough that i got to sleep alot  where are flying to? back home? *&lt;3.SA.&lt;3*,1,1,1,1
@davidarchie I just saw you on the screen at the American idol experience at Disney ! Haha . My dad is performing down here,1,1,1,1
"\@DavidArchie i know this is late but i watched some Philippines concert videos just now""",1,1,1,1
@DavidArchie i love ur new tweets! there hiliarous! boo for internet thats so slow &amp; cats!! hahahhah,1,1,0,1
@davidarchie i love zero gravity!!!  kisses from chile!! hope you are having fun with mcfly!!,1,1,1,1
@DavidArchie i miss you too. the 2 uk shows you're doing are no where near me.  please come here soon,1,1,1,1
@DavidArchie i really want to see that movie! i'm glad you had a good time,1,1,1,1
@DavidArchie I used to live in San Diego for 2 years! Darnit! I would have been standing front row at the Fair if I was I still there!  Aw,1,1,1,1
"\@DavidArchie I was totally gonna go to that STYX show. But I felt that I should spend time with the Singles Ward""",1,1,1,1
@DavidArchie i wasn't able to watch ur virtual concert cuz of bad internet connection,1,1,1,0
@DavidArchie I will always be inspired by your songs and achievements.Hoping someday I will be like you.-Pocholo Bismonte(Phil.),1,1,1,1
@DavidArchie I wish I could watch Up. I'm a huge fan of Pixar Movies. Hope you'll have an awesome time w/ your family David!,1,1,1,1
@DavidArchie i wish i was in USA so i can watch his shows,1,1,1,1
"\@DavidArchie if you don't mind""",1,1,1,1
@DavidArchie I'll do anything! just reply!!,1,1,1,1
@DavidArchie I'm keeping Cook and his family in my thoughts and prayers as well.,1,1,0,1
@DavidArchie I'm watching some of your videos in YouTube. You're funny David.  Oh and TALENTED of course!,1,1,0,1
"\@branovaclav  hey""",1,1,0,1
@Brantanamo Get @tommcfly back in the lead! Spread the word  http://bit.ly/VwV6H,1,1,1,1
@Brantanamo Heeey ant! how are u? marry me  and come to brazil for our wedding ahahah! why didn't u come to brazil? we miss u here  xxx.,1,1,1,1
@Brantanamo Hey ANt  How are you? Missing Danny? xxx,1,1,0,1
@brantanamo How was ur sleep? Was looking through ur pictures and ur bed looks soo comfy very jealous as i am stting at uni doing work!!,1,1,1,1
"\@Brantanamo id be a...giraffee""",1,1,1,1
"\@Brantanamo Mr.Antastic""",1,1,0,1
"\@Brantanamo say &quot;Hi&quot; to Brazil Ant or just &quot;Oi Brasil &quot; would be lovely""",1,1,0,1
"\@brantc Back in the day""",1,1,1,1
@brantkassel you can say that again   Friday is gonna be a tough day for me,1,1,1,1
@BraQueen you have to follow me in order for me to send you a direct message,1,1,1,1
@BrascoAtWMR  poo. I'm not sure if I'll be in San Jose.,1,1,1,1
"\@Branwen6277 @Steeffie I'm not home tonight""",1,1,1,1
@Brappers @Joshtastic500 I wish i was at toms,1,1,1,1
@branyap lenka is the one who sang the show,1,1,0,1
@DavidArchie it seems that you're having so much fun!..,1,1,1,1
"\@DavidArchie It's really windy here""",1,1,1,1
@DavidArchie Jordin's song was amazing huh? First time I heard it was today on Idol. Now I understand why you love her new stuff so much!,1,1,1,1
@DavidArchie just finished a maths exam. make my day and tweet back  Are you on American Idol nxt week?,1,1,1,1
@DavidArchie it's kinda chilly where i live. and this is my 1000th tweet so it goes you.,1,1,1,1
@DavidArchie i've watched it (I wanna know you duet) in youtube 9x last night. hahaha  love it sooo much.,1,1,1,1
"\@DavidArchie Just don't forget to tweet to me !  BTW""",1,1,0,1
@DavidArchie LECHUGA! Did u ever get our list &amp; my letter on Thursday? It got separated from our gift to u! Oh &amp; I hope u liked the book,1,1,0,1
@davidarchie love ur voice!!! your an excelent singer!! ill see the episode,1,1,0,1
@DavidArchie MY birthday is soon  Please greet me even it's a bit advanced!,1,1,0,1
"\@DavidArchie LOOL. i know right? i had seven cats back home .. yea""",1,1,1,1
@DavidArchie my friend Luigie had fun last night at your concert...,1,1,0,1
"\@DavidArchie Look for a Canadian flag in the crowd""",1,1,0,1
@DavidArchie lucky!! i wanted to see that movie so bad,1,1,1,1
"\@DavidArchie lol. &quot;oh my heck&quot;""",1,1,0,1
@DavidArchie lol what song is that?,1,1,0,1
"\@DavidArchie Man""",1,1,1,1
@DavidArchie new blog! yay! omg i hear you passed through chicago yesterday! i live there  wish i could've seen you,1,1,1,1
"\@DavidArchie oh btw David""",1,1,1,1
@DavidArchie Oh David. Survivor is over  JT won though!,1,1,1,1
@davidgillespie bc i've been renting for the last little while to feel it out.... now i know for sure i want one! any good brands recos?,1,1,0,1
@davidgallant Ha!  You're right - you totally tipped me off on the #Roofup. I'll see what I can do.  Fingers crossed for good weather!,1,1,0,1
@DavidArchie Oh wow! I want to watch it live. But I'm in asia siggghhhhh. Come back again hereeee! Filipino fans loves you so much!!,1,1,0,1
@davidgano #homohappyhour will have to wait until next Saturday for me. I'll be there in spirit  How many dirty words is it??,1,1,1,1
@davidgilray I'm fine creating a column. It's when I go to add people. There are only 1/4 of my people in there,1,1,1,1
@davidgallant that is the new MASS highway system of awesome.. wait wait wait.. is now the new commute.,1,1,0,1
@davidgillespie The Beatles? Those scousers with funny haircuts? More talent in The Banana Splits!,1,1,1,1
"\@DavidArchie oh! i wish i could have watched the finale live too. jason mraz performed""",1,1,0,1
@DavidArchie Oh my gosh. My phone hasn't gotten any of your Tweets today!  Darn Twitter..,1,1,1,0
@DavidArchie Oh glad you got to spend time with your friends!  Nighty Mister! haha! ),1,1,0,1
@DavidGibbons good then his promising 500K bonus pts for coming to camp is on record.,1,1,1,1
@DavidArchie Oh glad to hear about your friends! I'm glad they're back safely!,1,1,0,1
@davidgallant No internet is terrible! I feel so...disconnected from the world,1,1,1,0
@davidgideon I will heed your advice; Thank you   Time is too precious.....,1,1,1,1
@DavidGuetta_EN  we're waiting you here in Belgrade!! Can't wait!!,1,1,1,1
"\@davidgarrido I like John Terry  saw the replay of Lams' goal""",1,1,0,1
@DavidGrauman  before you know it you will be home... hopefully.,1,1,1,1
@DavidArchie Oh. Cool. Have a nice sleep David! Sweet dreams!,1,1,1,1
"\@davidgarrido Night David!  good to actually see you""",1,1,1,1
@DavidGHill I'll wash your car myself when you get here,1,1,1,1
"\@DavidArchie new blog""",1,1,0,1
"\@DavidArchie oh btw""",1,1,0,1
"\@DavidArchie Oh! I never knew my grandpa  Heyhey""",1,1,1,1
@DaviDgayFerriS wish I could  sorry I'm out,1,0,1,0
"\@davidgillespie email bankruptcy aside""",1,1,1,1
@davidgeller it's like Christmas eve.,1,1,1,1
@DaviDgayFerriS do a show kthnx,1,1,1,1
@davidgallant AW thanks,1,1,0,1
@davidginsburg Thanks!!,1,1,0,1
"\@Davidgibbons BTW""",1,1,1,1
"\@davidgilray Yeah""",1,1,1,1
"\@davidghc Well""",1,1,1,1
